YEAR,T2M,QV2M,RH2M,PRECTOTCORR
1990,9.82,6.71,84.62,0.63
1990,8.23,5.92,82.81,2.74
1990,4.26,4.58,84.06,1.71
1990,8.34,3.97,60.94,0
1990,11.15,3.85,49.25,0.06
1990,8.08,5.31,74.75,0
1990,10.58,5,65.06,0.08
1990,7.85,5.25,76.88,1.76
1990,3.13,3.97,79.12,0.98
1990,1.81,3.72,81.56,0.56
1990,3.7,3.36,68.12,0
1990,5.22,3.42,61.62,0
1990,12.61,4.46,52.56,0
1990,14.68,3.17,29.56,0
1990,14.52,4.15,39.94,0
1990,15.29,5.19,51.25,0.05
1990,15.84,5.07,46.5,0
1990,16.45,6.04,53.88,0
1990,15.87,5.8,53.38,0
1990,14.38,6.1,59.38,0
1990,14.83,5.8,56.19,0
1990,15.11,5.31,53.25,0
1990,11.97,5.86,66,0
1990,10.51,5.37,66.69,0
1990,10.73,5.37,65.5,0
1990,10.07,5.37,68.31,0.03
1990,10.55,4.15,54.81,0
1990,13.3,4.03,43.31,0.02
1990,12.37,4.58,53.19,0
1990,13.92,4.7,50.44,0
1990,15.94,4.82,44.75,0
1990,17.45,4.33,36.38,0.01
1990,15.59,5.43,47.44,0.01
1990,14.44,5.74,56,0
1990,12.78,5.98,63.81,0.04
1990,12.57,6.16,67.88,0.52
1990,10.83,5.74,70,0.06
1990,15.03,5.19,53.94,0
1990,20.19,4.46,34,0
1990,16.37,5.98,52.88,0
1990,19.65,5.25,42.56,0
1990,21.71,4.7,33.06,0
1990,21.42,4.94,33.62,0
1990,17.8,4.64,40.44,0.31
1990,12.74,6.1,63.5,4.64
1990,12.83,6.41,66.88,0.43
1990,13.01,6.96,71.38,0
1990,15.27,6.96,64.5,0.09
1990,14.93,6.53,61.38,0.08
1990,13.51,5.31,55.94,0
1990,12.15,5.74,63.81,1.75
1990,10.26,7.14,85.31,2.94
1990,10.94,5.74,68.62,0.04
1990,15.09,4.88,47,0
1990,18.2,6.41,50.88,0
1990,20.76,5.31,37.38,0
1990,18.85,6.53,47.56,0
1990,13.41,3.85,42.19,0.03
1990,11.85,3.85,48.06,0.13
1990,15.19,2.32,22.81,0
1990,17.51,3.3,27.62,0
1990,20.61,4.03,27.81,0.04
1990,23.3,3.6,22.69,0.01
1990,24.8,3.78,21.19,0
1990,24.16,4.46,24.44,0
1990,21.29,4.33,27.44,0
1990,19.37,3.42,25.75,0
1990,19.86,3.17,26.12,0
1990,12.53,5,56.06,0
1990,13.91,4.88,52.38,0
1990,14.98,4.39,43.19,0
1990,16.92,3.66,31.38,0
1990,16.12,4.33,39.38,0
1990,13.55,4.82,51.75,0
1990,19.84,3.11,25.69,0
1990,17.17,3.91,32.31,0
1990,13.8,4.15,45.12,0
1990,12.1,4.52,53.81,0
1990,13.98,5.13,54.12,0
1990,14.71,6.53,61.88,0.01
1990,18.27,6.1,51,0.01
1990,15.56,6.59,59.38,1.78
1990,12.96,3.78,43.88,0
1990,15.4,4.03,37.06,0
1990,16.12,5.07,44.31,0.01
1990,13.62,7.08,68.75,6.03
1990,13.05,6.9,70.81,4.51
1990,12.98,6.29,67.5,0.02
1990,14.08,6.23,63.75,0.01
1990,13.25,5.74,59.75,0.04
1990,14.46,4.58,49.06,0
1990,19.97,5.25,38.81,0
1990,20.13,5.92,40.38,0
1990,20.4,6.35,45.69,0
1990,19.9,5.92,41,0
1990,19.62,8,56.5,0
1990,21.51,7.81,51.62,0
1990,25.48,5.98,30.5,0.01
1990,26.57,7.02,32.38,0.11
1990,22.06,7.57,45.12,0.02
1990,20.31,4.27,29.62,0
1990,18.48,4.09,31.06,0
1990,16.94,4.21,36.06,0
1990,14.87,5.13,51.38,0
1990,14.44,6.29,61.06,0
1990,19.2,5.62,43.81,0
1990,21.28,4.64,29.5,0
1990,19.33,4.52,33.44,0
1990,25.05,3.78,21.75,0
1990,29.3,3.85,16.38,0
1990,28.34,4.39,19.94,0
1990,24.18,3.11,18.56,0
1990,24.47,3.66,21.25,0
1990,25.31,4.03,20.38,0
1990,24.32,4.27,22.75,0
1990,25.58,2.56,14.12,0
1990,24.84,3.72,19.44,0
1990,22.73,5.68,34.5,0
1990,25.65,5.31,27.19,0
1990,28.2,5.07,22.5,0
1990,28.18,5.74,24,0
1990,24.09,4.21,22.5,0
1990,23.59,4.09,23.19,0
1990,21.96,4.27,26.38,0
1990,22.24,5.31,33.19,0
1990,22.12,6.84,42.25,0
1990,23.98,4.64,25.88,0
1990,26.48,4.03,21.31,0
1990,28.23,4.52,21.5,0
1990,31.04,5,18.25,0
1990,31.34,6.96,23.25,0
1990,32.26,7.57,24.75,0
1990,33.44,8.85,27.19,0.02
1990,32.01,8.48,28.06,0.01
1990,29.89,6.9,26.5,0.01
1990,28.69,7.87,32.31,0.03
1990,27.5,8.48,36.81,0.05
1990,28.04,7.87,33.62,0.01
1990,29.14,7.32,28.44,0
1990,28.92,7.81,31.38,0
1990,29.05,6.53,26.56,0
1990,27.03,4.7,22.12,0
1990,27.11,3.97,18.19,0
1990,23.92,4.21,22.94,0
1990,21.55,4.21,27.38,0
1990,22.55,5.19,32.88,0
1990,24.43,4.39,24,0
1990,25.47,4.82,25.75,0
1990,26.38,4.76,23.56,0
1990,26.62,4.39,21.12,0
1990,25.76,4.58,23.31,0
1990,25.4,4.33,21.94,0
1990,26.79,4.64,21.88,0
1990,27.15,5.25,25,0
1990,27.35,5.62,25.56,0
1990,31.15,5.31,20.94,0
1990,32.4,6.59,22,0.53
1990,31.02,7.02,26.12,0.07
1990,30.64,6.77,26.5,0.04
1990,31.26,6.47,23.62,0.11
1990,31.32,6.77,23.94,0.03
1990,30.94,7.69,28.12,0.1
1990,29.01,6.35,25.69,0.01
1990,27.8,4.27,18.06,0
1990,24.87,5.13,24.94,0.01
1990,20.76,5.43,35.38,0
1990,20.1,6.59,44.5,0
1990,21.08,7.45,47.88,0
1990,20.53,6.53,43.69,0
1990,19.05,5.74,41.62,0
1990,19.58,5.98,43.44,0
1990,21.23,5.62,37.62,0
1990,22.4,5.37,34.38,0
1990,22.73,5.19,30.69,0
1990,19.79,6.04,43.06,0
1990,16.94,5.92,52.81,0
1990,17.73,5.8,48.75,0
1990,20.4,5.86,43.44,0
1990,24.05,5,29.56,0
1990,23.36,6.1,34.19,0
1990,21.55,6.29,39.5,0
1990,19.89,5.07,35.62,0
1990,23,4.21,25.75,0
1990,25.12,3.6,19.31,0
1990,23.26,4.33,24.75,0
1990,24.25,4.7,25.25,0
1990,26.4,5,23.62,0.02
1990,25.77,5.13,24.5,0
1990,24.16,5.68,30.12,0
1990,23.15,5.07,28.94,0
1990,26.97,3.97,18.94,0
1990,28.37,4.58,19.06,0
1990,25.19,4.46,23,0
1990,23.94,3.97,21.25,0
1990,23.44,3.78,21,0
1990,21.88,4.46,26.06,0
1990,19.73,4.39,30.94,0
1990,19.44,4.46,30.94,0
1990,19.07,4.76,34.56,0
1990,18.12,6.65,51.44,0
1990,19.56,6.84,51.19,0.36
1990,22.15,5.19,33.19,0.68
1990,21.32,6.77,41.19,4.19
1990,20.69,7.02,46.38,0.5
1990,20.75,6.77,45.06,0.02
1990,18.68,7.32,54.94,0
1990,18.46,7.08,55.44,0
1990,18.09,7.32,55.94,0
1990,16.87,7.32,60.25,0.04
1990,18.21,6.59,51.19,0.02
1990,21.12,5.37,36.25,0.02
1990,22.82,5.19,31.44,0.08
1990,22.37,4.27,26.06,0
1990,18.8,6.23,44.19,0
1990,23.69,4.09,25.75,0
1990,24.12,4.21,23.44,0
1990,22.89,5.98,36.19,0
1990,17.08,6.96,55.5,0
1990,15.43,4.33,39.88,0
1990,16.68,1.46,13.19,0
1990,19.77,1.53,10.81,0
1990,19.72,1.89,13.06,0
1990,19.23,2.44,17.56,0
1990,20.38,2.75,18.38,0
1990,17.32,3.85,29.12,0
1990,19.65,4.09,31.25,0
1990,17.39,4.15,32.5,0
1990,15.8,5.98,50.38,0
1990,19,3.97,32.25,0.02
1990,17.79,5.49,41.12,0.46
1990,12.38,6.04,64.56,0.04
1990,14.21,2.38,26.94,0
1990,17.12,1.46,11.56,0
1990,17.37,2.56,19.25,0
1990,18.73,2.75,21.62,0
1990,20.23,2.26,16.12,0
1990,21.12,2.38,15.62,0
1990,19.69,2.75,19.25,0
1990,21.39,2.26,14.31,0
1990,17.8,3.3,25.88,0
1990,15.26,4.64,41.62,0
1990,14.86,4.03,41,0
1990,12.82,6.29,65.88,0.1
1990,8.65,4.88,66.56,0.09
1990,8.38,2.26,33,0
1990,10.16,0.98,15.19,0
1990,12.75,1.28,14.06,0
1990,10.26,3.17,38.56,0
1990,9.13,1.95,28.88,0
1990,9.68,1.1,16.38,0
1990,11.99,1.95,21.81,0
1990,16.55,4.27,37.75,0
1990,17.68,2.5,23.12,0
1990,16.15,1.77,14.81,0
1990,17.37,2.01,16.31,0
1990,18.73,2.44,17.81,0
1990,15.89,3.3,27.75,0
1990,15.24,3.42,33.06,0
1990,15.74,3.17,27.31,0
1990,14.5,4.94,45.38,0
1990,10.87,4.94,59.25,0.01
1990,9.94,5.19,64.06,3.2
1990,6.33,4.88,75.88,0.28
1990,6.29,3.36,56,0
1990,10.42,2.38,31.88,0.01
1990,14.05,2.14,23.06,0
1990,15.69,1.71,15.62,0
1990,10.77,3.72,46.31,4.92
1990,4.23,3.72,69.19,0.76
1990,4.37,2.38,47.38,0
1990,7.98,2.08,32,0
1990,10.62,2.14,26.5,0
1990,8.1,2.5,36.12,0
1990,6.62,3.11,50.31,0
1990,7.09,2.5,43.44,0
1990,9.32,1.83,25.38,0.04
1990,11.42,2.01,24.19,0
1990,8.94,2.38,32.94,0
1990,11.27,2.08,26.12,0
1990,11.73,1.83,21.25,0
1990,11.84,1.77,21.12,0
1990,11.91,1.59,18.88,0
1990,13.05,2.01,21.06,0
1990,11.3,4.09,46.62,0.41
1990,8.05,5.43,77.06,0.05
1990,4.77,4.88,86.12,0.01
1990,4.57,2.5,51.75,0
1990,3.1,2.99,58.69,1.26
1990,2.67,4.15,84.38,0.07
1990,3.39,3.05,64.69,0
1990,2.35,3.72,77.56,0.37
1990,1.69,4.39,93.44,4.27
1990,-1.89,2.62,76.44,0.1
1990,-4.6,2.01,73.69,0.03
1990,-2.97,1.34,45.56,0
1990,-0.63,0.73,19.69,0
1990,2.35,1.28,27.06,0
1990,3.13,1.77,37.81,0
1990,3.75,1.95,40.62,0
1990,5.48,2.08,36.88,0
1990,2.03,2.56,55.69,0
1990,0.5,2.62,63.94,0
1990,3.14,0.92,19.25,0
1990,4.73,1.28,25.5,0
1991,7.2,1.53,23.94,0
1991,9.03,1.89,26.88,1.7
1991,6.12,4.27,67.88,7.72
1991,7.3,6.23,90,0.67
1991,7.82,5.19,76,0
1991,7.34,4.09,61.88,0.01
1991,5.58,4.88,81.88,0.19
1991,5.56,4.76,81.69,2.45
1991,4.98,4.64,80.88,2.62
1991,6.04,4.82,79.44,0
1991,9.12,4.46,61.25,0
1991,7.76,5,74.81,0
1991,6.98,5.74,87.31,0
1991,9.2,5.86,80.31,0.04
1991,6.37,5.49,87.12,0
1991,7.66,3.3,52,0.06
1991,8.55,3.05,44,0
1991,10.23,3.91,50.56,0
1991,8.67,3.17,46.25,0.02
1991,7.45,2.62,40.31,0.04
1991,6.71,2.2,35.44,0
1991,5.72,2.14,37.69,0
1991,7.99,2.62,39.31,0.01
1991,5.68,2.5,43.75,0
1991,7.25,2.32,37.69,0
1991,8.06,2.69,41.06,0
1991,5.95,3.6,61.88,0
1991,3.91,3.54,69.75,0
1991,5.51,2.2,45.44,0
1991,7.76,1.65,26.06,0
1991,7.83,1.83,28,0
1991,9.74,1.65,23.06,0.08
1991,9.37,3.66,47.62,0.15
1991,9.28,5.07,69.12,0
1991,12.5,4.09,49.25,0.02
1991,9.53,6.29,80,0.02
1991,11.65,3.97,52.12,0
1991,13.85,2.69,28.5,0
1991,13.92,2.75,27.62,0
1991,14.57,2.75,27.12,0
1991,13.93,2.75,28.31,0
1991,13.3,2.99,32.94,0
1991,11.14,4.27,52.94,0
1991,12.5,4.58,50.56,0
1991,15.62,4.21,37.88,0
1991,16.62,4.03,33.38,0
1991,11.64,6.04,67.31,0.01
1991,7.08,5,76.25,0
1991,8.2,3.54,54.81,0
1991,11.79,2.87,34.44,0.01
1991,15.52,2.99,29.62,0
1991,17.08,2.75,24.06,0
1991,11.61,4.03,45.81,0
1991,11.81,3.97,50.81,0
1991,13.97,2.5,28.31,0
1991,13.85,1.59,17,0
1991,15.37,2.08,19.12,0.55
1991,10.44,5.55,66.31,14.18
1991,8.86,6.59,85.69,12.31
1991,8.33,6.41,86.5,8.57
1991,9.17,5.13,70.06,1.78
1991,12.06,6.04,65.94,8.33
1991,12.01,8.3,88.25,7.49
1991,7.98,5.62,80.25,0.26
1991,4.85,3.97,72.25,0.03
1991,7.65,3.05,52.81,0.02
1991,10.87,2.87,37.25,0.01
1991,9.76,3.36,44.62,0.16
1991,8.01,4.27,62.69,1.73
1991,3.88,3.66,71.56,0.67
1991,5.62,3.54,62.19,0.08
1991,5.25,5.07,86.12,11.2
1991,4.07,4.7,86.69,2.57
1991,1.74,3.85,83.56,0.83
1991,5.6,3.54,64.56,0.04
1991,7.76,4.64,68.19,9.26
1991,8.85,6.23,81.94,49.3
1991,4.49,4.52,80.88,11.49
1991,3.41,4.76,90.31,9.1
1991,3.85,4.58,85.62,0.78
1991,7.49,4.58,69.81,0.03
1991,7.78,5,73.56,1.19
1991,7.9,5.07,74.25,5.39
1991,5.83,5.07,82.5,9.16
1991,3.83,4.58,85.69,9.79
1991,3.17,4.64,90,1.68
1991,6.68,5.07,80.81,0
1991,8.76,5.25,72.62,0.02
1991,11.69,4.46,51.31,0.05
1991,12.76,5.13,54.38,0.02
1991,8.24,6.16,84.94,0.21
1991,8.69,6.04,82.25,0.01
1991,12.43,5.86,66.12,0
1991,16.2,6.35,56.19,0
1991,14.16,7.32,70.5,0
1991,11.8,7.2,79.38,0
1991,8.92,5.19,71.38,0
1991,10.87,4.88,62.06,0
1991,12.46,5.37,59.88,0
1991,7.99,4.52,66.06,0
1991,7.43,3.17,51.88,0
1991,8.7,3.85,56.44,0
1991,11.48,4.76,54.69,0
1991,11.45,6.1,71.38,0
1991,8.64,5,70.94,0
1991,7.98,4.52,68,0
1991,8.58,5.13,71.94,0
1991,10.91,5.43,66.5,0
1991,11.76,5.31,63.75,1.25
1991,10.41,6.23,75.69,0.17
1991,10.27,6.16,76.44,0.09
1991,10.75,6.41,76.88,0.01
1991,10.55,6.59,78.75,0.02
1991,10.17,6.35,78.81,0.18
1991,9.46,5.37,71.38,0.09
1991,10.59,6.23,75.75,0.01
1991,11.8,5.13,61.88,0
1991,14.38,4.33,43.19,0
1991,16.89,5.37,44.56,0
1991,16.3,4.33,41.69,0
1991,7.78,4.58,67,0.34
1991,8.08,4.76,69.69,0.03
1991,9.3,5.74,75.5,0
1991,15.26,5.07,48.94,0
1991,18.83,5.62,43.06,0
1991,17.4,6.29,51.19,0.05
1991,17.68,7.69,63.19,0
1991,15.19,6.77,62.44,0.15
1991,8.44,4.58,65.88,0.05
1991,10.01,4.27,55.44,0
1991,12.06,4.15,48.19,0
1991,13.16,5.43,59.56,0
1991,13.23,5.98,62.31,0.31
1991,10.67,5.86,71.19,0.14
1991,17.41,5.19,44.19,0
1991,16.69,5.8,48.88,0
1991,11.12,5.13,61.62,0.26
1991,8.94,4.88,68.06,0.23
1991,11.08,4.76,57.62,0
1991,13.56,5.49,56.94,0.03
1991,13.67,6.23,62.75,0.04
1991,16.64,6.59,56.19,0
1991,20.8,7.26,48,0
1991,20.94,7.14,46.69,0
1991,20.45,6.65,45.69,0
1991,15.82,4.27,39.81,0
1991,15.21,4.94,47.12,0
1991,17.05,4.7,40.12,0
1991,15.37,4.52,42.5,0
1991,11.68,5.49,60.62,0.14
1991,14.78,3.78,37.5,0
1991,20.24,4.88,33.5,0
1991,20.6,5.92,38.75,0
1991,20.44,6.71,45.25,0
1991,22.06,5.74,35.56,0
1991,20.57,4.94,32.69,0
1991,19.16,4.09,31.69,0
1991,19.79,3.85,28.69,0
1991,21.58,4.82,29.94,0
1991,25.51,4.46,24.88,0
1991,25.92,5.49,27.94,0
1991,26.08,4.64,23.75,0
1991,24.08,3.97,22.19,0
1991,21.67,4.46,29.19,0
1991,18.98,4.39,33.19,0
1991,20.61,3.97,27.5,0
1991,21.25,3.78,24.94,0.05
1991,22.06,4.39,25.56,0
1991,21.36,4.64,29.06,0
1991,17.31,4.33,37.31,0
1991,16.72,4.33,37.19,0
1991,16.26,3.48,31.06,0
1991,15.87,4.46,41.56,0
1991,16.62,4.7,41.56,0
1991,15.81,5,47.12,0
1991,15.35,5.43,52.31,0.15
1991,17.22,5.62,47.12,0.01
1991,17.08,6.35,50.25,0.09
1991,18.82,7.14,52.31,0.19
1991,16.99,7.02,58,0
1991,24.98,5,30.69,0
1991,29.04,4.27,18.88,0
1991,31.05,4.52,18.19,0
1991,31.03,5.55,22,0
1991,31.31,6.41,23.69,0.02
1991,31.02,5.62,21.12,0
1991,27.83,7.39,31.81,0
1991,28.64,7.51,32.06,0.05
1991,25.07,8.24,40.31,0
1991,23.66,5.49,32.19,0
1991,22.72,5.62,32.75,0
1991,26.23,4.94,24.62,0
1991,27.84,5.13,24,0
1991,24.83,5.92,31.31,0
1991,24.26,4.94,26.38,0
1991,24.58,3.72,20.31,0
1991,22.26,4.82,28.81,0
1991,22.14,5.98,36.81,0
1991,22.11,6.23,37.12,0
1991,20.85,6.35,41.44,0
1991,21.26,6.84,42.62,0
1991,24.95,6.16,34.62,0
1991,27,5.68,28.69,0
1991,25.26,6.1,32.44,0
1991,23.59,5.55,31.75,0.01
1991,23.12,6.35,37,0
1991,27.84,5.31,25.19,0
1991,28.83,5.98,27.38,0
1991,27.45,6.47,29.94,0
1991,27.65,5.86,26.81,0
1991,29.98,5.25,20.5,0.14
1991,29.54,6.65,25.44,0.09
1991,26.15,7.51,34.94,0.01
1991,24.35,3.78,20.62,0
1991,22.46,5.07,30.56,0
1991,20.4,5.8,40,0
1991,20.19,5.74,42,0
1991,19.37,5.68,42.5,0
1991,21.51,6.71,44.19,0
1991,26.67,4.94,24.94,0
1991,25.44,4.58,22.88,0
1991,28.1,4.94,21.31,0
1991,28.08,5.92,24.5,0.02
1991,25.19,7.81,37.56,0.06
1991,28.58,9.58,37.94,0
1991,26.52,9.7,46.56,0.01
1991,23,10.19,57,0
1991,22.92,7.63,43.62,0
1991,22.89,6.47,36.62,0
1991,22.8,5.98,34.31,0
1991,23.41,5.8,32.5,0
1991,22.8,6.04,35.75,0
1991,24.59,4.94,26.56,0
1991,24.97,4.58,24,0
1991,26.83,4.82,22,0
1991,29.73,6.77,24.81,0
1991,27.14,7.14,30.69,0
1991,22.53,5.19,30.44,0
1991,17.98,4.21,33.12,0
1991,19.51,4.27,31.06,0
1991,23.26,4.88,27.25,0
1991,23.62,6.59,36.56,0
1991,24.2,5.92,34.38,0
1991,27.41,5.8,26.62,0
1991,29.19,6.59,25,0.01
1991,28.71,6.41,26,0
1991,27.4,6.29,27.69,0.05
1991,28.16,7.32,31.19,0.18
1991,25.91,9.34,43,0.58
1991,24.51,8.85,45.38,0
1991,23.53,7.39,40.62,0
1991,19.3,5.86,43.81,0
1991,15.32,6.1,56.5,0
1991,18.5,5.86,45,0
1991,20.79,5.74,37.88,0
1991,20.72,5.43,36.38,0
1991,20.62,5.62,38.31,0
1991,24.97,4.64,26.88,0
1991,26.81,4.39,21.38,0
1991,27.06,4.03,20.06,0
1991,27.23,3.6,16.81,0
1991,25.71,4.7,22.88,0
1991,25.01,6.16,31.62,0
1991,25.25,5.37,27.38,0
1991,26.59,6.29,28.81,0.02
1991,26.25,6.71,31,0.02
1991,27.65,6.1,26.69,0.05
1991,27.79,6.53,28,0.35
1991,25.11,6.47,32.44,0
1991,23.06,5.86,33.56,0
1991,23.35,5.25,29.56,0
1991,25.66,6.23,29.31,0.02
1991,26.9,6.77,30.62,0.05
1991,25.79,6.41,30.81,0.01
1991,26.07,5.19,25.62,0
1991,25.24,5.19,25.94,0
1991,25.54,4.46,22.69,0.04
1991,23.42,4.82,26.12,0
1991,22.03,5.31,31.94,0
1991,24.7,4.52,24.62,0
1991,24.5,3.85,20.69,0
1991,24.8,3.91,19.81,0
1991,25.69,3.42,17.31,0
1991,25.29,4.7,22.94,0.12
1991,23.68,5.86,32.12,0
1991,23.95,5.31,29,0
1991,25.13,4.46,24.25,0
1991,25.25,3.66,19.12,0
1991,23.03,3.97,22.12,0
1991,22.55,4.52,25.19,0
1991,22.17,4.58,29.69,0
1991,21.95,4.33,27.44,0
1991,22.19,3.6,21.38,0
1991,21.74,3.66,22.69,0
1991,16.36,7.75,64.5,0.04
1991,12.69,6.29,64.38,0.15
1991,10,3.3,42.94,0
1991,9.55,5.86,72.56,3.92
1991,9.98,7.81,93.12,9.21
1991,7.24,5.07,75.81,0.24
1991,7.68,3.48,54.81,0
1991,6.49,4.76,73.62,0.01
1991,8.37,2.81,45.44,0
1991,9.48,2.56,35.38,0
1991,12.33,3.17,36.31,0
1991,14.5,3.54,34.94,0
1991,15.12,3.54,33.38,0
1991,15.63,4.09,38.12,0
1991,17.3,4.82,40,0
1991,19.08,5,35.5,0
1991,20.06,5.13,35.25,0
1991,19.73,5.55,38.19,0.03
1991,13.36,7.2,71.44,0.04
1991,14.29,6.47,64.56,0.03
1991,16.05,4.46,41.12,0
1991,16.75,2.93,25.06,0
1991,13.19,4.27,44.5,0
1991,7.07,4.52,68,0.01
1991,6.19,2.81,47.44,0
1991,8.48,2.62,38.31,0
1991,8.87,5.74,73.12,3.36
1991,7.06,5.37,80.88,0.84
1991,9.48,2.38,35.81,0
1991,11.78,2.87,33.12,0
1991,8.8,4.52,60.25,0
1991,10.86,2.38,31,0
1991,11.05,1.46,18,0
1991,12.46,2.01,22.19,0
1991,12.8,2.87,31.56,0
1991,14.15,3.17,31,0
1991,8.81,4.88,65.88,0
1991,5.23,2.62,48.06,0
1991,2.9,2.62,51.25,0.02
1991,2.52,1.65,38.19,0
1991,5.47,1.4,25.81,0.01
1991,5.08,2.26,39.19,0
1991,9.98,2.62,35.5,0
1991,11.83,2.38,27.88,0
1991,12.23,2.44,28.06,0
1991,11.26,2.56,30,0
1991,4.46,4.15,74,7.03
1991,7.38,4.33,66.19,0.46
1991,10.38,4.39,54.19,0
1991,10.94,5,60.81,0.06
1991,7.76,4.64,67.44,0.04
1991,8.19,3.17,47.44,0
1991,8.62,2.69,40.5,0.16
1991,11.05,1.89,23.69,0
1991,13.32,1.95,19.56,0
1991,12.3,2.44,26.06,0.09
1991,12.85,4.15,42.62,0.26
1991,8.87,6.29,83.31,0.84
1991,5.11,3.85,67.12,0.26
1991,5.58,2.14,40.06,0
1991,8.74,3.17,43.5,0
1991,8.85,3.97,54.25,0
1991,8.89,3.72,50.31,0
1991,8.42,3.6,51.38,0
1991,6.95,3.11,48.5,0
1991,8.72,2.93,39.62,0.01
1991,10.16,4.15,50.88,12.98
1991,6.41,5.43,84.94,8.73
1991,5.69,5.49,89.31,6.79
1991,5.52,4.88,81.5,0.63
1991,5.83,3.85,65.06,0
1992,7.95,3.23,47.69,0
1992,8.74,2.44,34.06,0.12
1992,6.33,3.66,58.06,6.32
1992,7.12,5.31,79.94,11.68
1992,5.48,5.62,90.81,20.16
1992,4.24,5.19,93,2.87
1992,2.69,4.46,89,0.9
1992,4.38,3.23,61.69,0
1992,6.44,2.87,47.06,0.05
1992,9.29,3.48,46.19,0.04
1992,3.4,4.03,78,0.04
1992,3.16,2.75,58.44,0.02
1992,6.12,2.32,39.25,0.1
1992,7.31,3.48,51,0.12
1992,7.69,3.54,53.38,0.01
1992,9.81,3.78,48.5,0.15
1992,8.12,3.85,54.94,0.1
1992,7.49,3.23,47.94,0.11
1992,8.15,2.87,41.69,0
1992,7.69,3.11,46.69,0
1992,6.6,3.3,52.81,0
1992,7.74,3.42,51.5,0.01
1992,9.48,2.81,39.44,0.01
1992,11.35,2.93,34.38,0
1992,9.44,3.36,44.69,0
1992,8.08,3.97,57.25,0.06
1992,10.73,3.91,49.94,0
1992,10.16,4.09,52.06,0
1992,11.57,4.39,54.81,0
1992,11.44,3.78,46.12,0
1992,13.11,3.72,38.44,0.08
1992,8.83,5.37,71.62,0.05
1992,8.23,4.64,68.94,0
1992,9.08,2.81,42.31,0
1992,9.7,3.6,46.75,0
1992,9.95,5.19,64.12,3
1992,9.66,6.1,75.75,4.6
1992,9.9,6.47,79.62,0.7
1992,9.54,6.41,82,0.87
1992,8.37,5.49,76.69,4.43
1992,7.73,6.1,86.62,8.99
1992,9.51,7.02,88.38,13.84
1992,8.88,6.35,82.88,16.96
1992,6.58,5.55,85.75,1.84
1992,6.71,5.31,82.44,6.05
1992,4.72,5.37,92.38,15.87
1992,6.27,5.74,90.69,1.92
1992,7.37,5.74,84.81,0.33
1992,9.01,5,68.56,0.02
1992,10.98,5.92,68.44,0.03
1992,11.8,8.12,88.69,0.31
1992,10.72,6.9,82.25,0.17
1992,8.91,6.84,89.38,0.09
1992,10.9,4.27,53.81,0.06
1992,12.73,3.97,42.75,0
1992,14.54,5.07,48.19,0
1992,14.21,5,49.81,0
1992,14.73,4.52,43.25,0
1992,14.61,5,47.75,0
1992,13.23,5.25,54.31,0.08
1992,10.61,5.43,64.25,3.13
1992,10.26,5.86,69.88,3.88
1992,8.73,6.9,91.06,1.32
1992,8.88,6.29,83.75,0.98
1992,9.69,6.04,77.62,4.9
